TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
13.794	-509.141	0.316	0.008	0.316	-254.299	1.052	-256.975	1.047
13.807	-488.905	0.274	0.008	0.274	-244.192	0.912	-246.419	0.908
13.820	-505.094	0.279	0.008	0.279	-252.277	0.930	-254.622	0.925
13.833	-530.187	0.289	0.008	0.289	-264.810	0.965	-267.365	0.960
13.846	-523.711	0.305	0.008	0.305	-261.576	1.017	-264.237	1.012
13.859	-493.762	0.295	0.008	0.295	-246.617	0.982	-249.040	0.977
13.872	-488.905	0.274	0.008	0.274	-244.192	0.912	-246.419	0.908
13.885	-515.617	0.279	0.008	0.279	-257.533	0.930	-259.927	0.925
13.898	-526.949	0.295	0.008	0.295	-263.193	0.982	-265.778	0.977
13.911	-505.903	0.295	0.008	0.295	-252.682	0.982	-255.163	0.977
13.924	-481.620	0.279	0.008	0.279	-240.553	0.930	-242.789	0.925
13.937	-496.190	0.268	0.008	0.268	-247.830	0.894	-250.047	0.890
13.950	-521.283	0.284	0.008	0.284	-260.363	0.947	-262.829	0.943
13.963	-512.379	0.300	0.008	0.300	-255.916	1.000	-258.474	0.995
13.976	-472.716	0.284	0.008	0.284	-236.106	0.947	-238.342	0.943
13.989	-470.288	0.268	0.008	0.268	-234.893	0.894	-236.994	0.890
14.002	-492.143	0.289	0.008	0.289	-245.809	0.965	-248.180	0.960
14.015	-511.569	0.300	0.008	0.300	-255.512	1.000	-258.066	0.995
14.028	-488.905	0.321	0.008	0.321	-244.192	1.070	-246.804	1.064
14.041	-468.669	0.289	0.008	0.289	-234.084	0.965	-236.342	0.960
14.054	-486.477	0.268	0.008	0.268	-242.979	0.894	-245.152	0.890
14.067	-514.807	0.305	0.008	0.305	-257.129	1.017	-259.745	1.012
14.080	-513.998	0.321	0.008	0.321	-256.725	1.070	-259.471	1.064
14.093	-476.763	0.310	0.008	0.310	-238.127	1.035	-240.591	1.029
14.106	-484.048	0.268	0.008	0.268	-241.766	0.894	-243.928	0.890
14.119	-503.475	0.289	0.008	0.289	-251.469	0.965	-253.895	0.960
14.132	-522.902	0.305	0.008	0.305	-261.172	1.017	-263.829	1.012
14.145	-501.856	0.326	0.008	0.326	-250.660	1.087	-253.386	1.082
14.157	-482.429	0.289	0.008	0.289	-240.957	0.965	-243.282	0.960
14.170	-494.571	0.274	0.008	0.274	-247.022	0.912	-249.274	0.908
14.183	-525.330	0.300	0.008	0.300	-262.385	1.000	-265.008	0.995
14.196	-522.902	0.300	0.008	0.300	-261.172	1.000	-263.783	0.995
14.209	-488.905	0.284	0.008	0.284	-244.192	0.947	-246.504	0.943
14.222	-484.048	0.263	0.008	0.263	-241.766	0.877	-243.886	0.873
14.235	-504.284	0.274	0.008	0.274	-251.873	0.912	-254.170	0.908
14.248	-519.664	0.289	0.008	0.289	-259.555	0.965	-262.058	0.960
14.261	-491.333	0.305	0.008	0.305	-245.405	1.017	-247.901	1.012
14.274	-459.765	0.279	0.008	0.279	-229.637	0.930	-231.772	0.925
14.287	-467.859	0.263	0.008	0.263	-233.680	0.877	-235.729	0.873
14.300	-484.048	0.284	0.008	0.284	-241.766	0.947	-244.056	0.943
14.313	-470.288	0.316	0.008	0.316	-234.893	1.052	-237.365	1.047
14.326	-442.767	0.310	0.008	0.310	-221.147	1.035	-223.435	1.029
14.339	-432.244	0.263	0.008	0.263	-215.891	0.877	-217.784	0.873
